Title,Genre,Plot,Keywords
The Guilt of Janet Ames,drama,"Bitter war widow Janet Ames (Rosalind Russell) seeks out the five soldiers for whom her husband gave his life by falling on a hand grenade during the Battle of the Bulge. While crossing a city street to find the first, she is struck and knocked unconscious by an automobile. The police find no identification on her, only a list of names. One recognizes the last name on her list, Smithfield ""Smitty"" Cobb (Melvyn Douglas), a reporter recently fired for alcoholism, and contacts Smitty. When Smitty sees the list, he realizes who she must be.
He goes to see her at the hospital, and finds her in a wheelchair, unable to walk. As the doctor can find no physical reason for the paralysis, he schedules an appointment with a psychiatrist. Smitty decides to treat her himself. He introduces himself as a friend of her husband David (though not as one of the men he saved), and wheels her into a private room. She explains her mission: to see if any of the men were worth David's sacrifice, making it perfectly clear that she has already made up her mind. After a nurse gives her a sedative, Smitty accuses her of wallowing in self-pity, then tries to get Janet to change her mind by describing each of the men. He is so vivid that Janet can see and talk to them.
The first man she interacts with is nightclub bouncer Joe Burton (Richard Benedict). He and his singer girlfriend Katie (Betsy Blair) dream of building a house. Joe constructs a model of it from a deck of cards. Exasperated by their unrealistic aspirations, Janet blows the cards down.
Next, Smitty takes her to the desert, where Ed Pierson is doing scientific research and living in a shack with his wife Susie (Nina Foch). Janet does not meet Ed at all; instead, she talks with Susie and her very wealthy father, who strongly disapproves of what the couple are doing. He wants Ed to come work for him, but Susie replies that Ed is happy where he is and would be miserable in the business world. Janet states that her husband would never do what Ed has done.
The third man is Frank Merino (played by an uncredited Hugh Beaumont). Janet first meets his young daughter Emmy. During their conversation, Janet states that she and David were too sensible to have children before they were ready and that children are a lot of trouble. A bewildered Emmy seeks comfort from her father.
Sammy Weaver (Sid Caesar), the fourth man, is a promising, up-and-coming comedian. After entertaining Janet and Smitty with his routine, he thanks her for the opportunity to lift the spirits of his audience.
By this point, Janet has guessed Smitty's identity. He describes himself as a crusading journalist and newspaper editor.
Janet then admits that she feels overwhelming guilt in not loving her husband and making his civilian life so miserable, he had little to lose when he sacrificed himself. David wanted to build a house and have a child right away, but she put them off until it was too late. She also made him decline a research position and keep working at a job he hated for her own security. Smitty persuades her to forgive herself, and the paralysis in her legs goes away.
However, when she tells him that she has fallen in love with him, he brushes her off and retreats to his favorite bar to drown his own troubles. Janet then learns from a policeman that Smitty is not exactly what he claimed. She tracks him down and extracts from him the reason for his alcoholism. It turns out Smitty, as David's commanding officer, ordered him to throw himself on the grenade, when Smitty was just as close to it. Janet tells him that David would have done so without being ordered, and that he probably never even heard the command. She then turns the tables on her healer, describing their happy future life together.",drama bitter war widow janet ame rosalind russell seek soldier husband give life fall hand grenade battle bulge cross city street find strike knock unconscious automobile police find identification list name recognize list smithfield smitty cobb melvyn douglas reporter recently fire alcoholism contact smitty smitty see list realize go hospital find wheelchair unable walk doctor find physical reason paralysis schedule appointment psychiatrist smitty decide treat introduce friend husband david man save wheel private room explain mission man worth david sacrifice make perfectly clear mind nurse give sedative smitty accuse wallow self pity try janet change mind describe man vivid janet talk man interact nightclub bouncer joe burton richard benedict singer girlfriend katie betsy blair dream build house joe construct model deck card exasperate unrealistic aspiration janet blow card smitty take desert ed pierson scientific research live shack wife susie nina foch janet meet ed instead talk susie wealthy father strongly disapprove couple want ed come work susie reply ed happy miserable business world janet state husband ed man frank merino play uncredited hugh beaumont janet meet young daughter emmy conversation janet state david sensible child ready child lot trouble bewildered emmy seek comfort father sammy weaver sid caesar fourth man promising come comedian entertain janet smitty routine thank opportunity lift spirit audience point janet guess smitty identity describe crusading journalist newspaper editor janet admit feel overwhelming guilt love husband make civilian life miserable little lose sacrifice david want build house child right away late decline research position work job hate security smitty persuade forgive paralysis leg go away tell fall love brush retreat favorite bar drown trouble janet learn policeman smitty exactly claim track extract reason alcoholism turn smitty david command officer order throw grenade smitty close janet tell david order probably hear command turn table healer describe happy future life
Lone Wolf and Cub: Sword of Vengeance,chambara,"Set in Japan during an unspecific year of the Edo period, Ogami Ittō, disgraced former executioner, or Kogi Kaishakunin, to the shōgun, wanders the countryside, pushing a baby cart with his 3-year-old son Daigoro inside. A banner hangs off his back. ""Ogami: Suiouryo technique"" (Child and expertise for rent)(子を[son] 貸し[for hire] 腕 [arm|skill] 貸し[for hire] つかまつる [to serve] 水 鷗流 [Suiouryo] 拜一刀 [ogami ittō]), it says. His services are asked for in a most unexpected way, when an insane woman seizes Daigoro from the cart and proceeds to try to breastfeed the boy. Daigoro at first hesitates, but after stern look from his father, he proceeds to suckle the crazy woman's breast. The woman's mother then apologizes for her daughter's behavior and tries to give Ittō money, but the stoic rōnin refuses, saying his son was hungry anyway.
As he walks in the rain, he remembers another rainy day several months earlier when his wife, Asami, was slain by three ninjas, ostensibly in revenge for Ittō's execution of a boy daimyō, but it was really part of a complicated plot by the shōgun's inspector Bizen and the ""Shadow"" Yagyū Clan to frame Ittō for treason and take over the executioner's post.
Now a wandering assassin for hire, Ittō takes a job from a Chamberlain, to kill a rival and his gang of henchmen, who pose a threat to the chamberlain's lord. The chamberlain plans to test Ittō, but a quick slash behind his back with his Dōtanuki sword dispatches the chamberlain's two men. The targets are in a remote mountain village that is home to hot-spring spa pools.
As Ittō pushes the baby cart, and Daigoro observes scenes of nature, such as a mother dog suckling one puppy, and two children singing a song and bouncing a ball, Ittō thinks back again to the time just after his wife was killed. He gave Daigoro a choice between a toy ball or the sword. If the child chose the ball, Ittō would put him to death send him to be with his mother – a better place in his opinion. But the curious child reaches for the sword – he has chosen to take the path of the ronin with his father, to live like demons at the crossroads to hell.
Eventually, Ittō reaches the hot-spring village. He finds that the rival chamberlain and his men have hired a band of ronins who have taken over the town and are raping, looting and pillaging. Ittō is forced to give up his sword and take his place as a hostage in the village.
The ronins discuss killing Ittō, but then decide to let him live if he will have sex with the town's remaining prostitute while they watch. The prostitute refuses to have any part in it, but then she's threatened by one of the men, a knife expert, and in order to save the woman, Ittō steps forward and disrobes, saying he will do the men's bidding with the woman.
The episode takes one more trip back to the past, for the dramatic beheading and blood-spurting scene in which Ittō defeats one of Yagyū Retsudo's best swordsman, with the aid of a mirror on Daigoro's forehead to reflect the sun into the swordsman's eyes.
And then there is the big showdown in the village, where it is revealed that the baby cart harbors some secrets – various edged weapons, including a spear-like naginata, which Ittō uses to take out the evil chamberlain's men, chopping one off at his knees, leaving the bloody stumps of his lower legs still standing on the ground.
One of the men has matchlock pistols, but Ittō quickly upturns the baby cart, which is revealed to be armored underneath, and when the gunman's pistols are empty, Ittō quickly leaps over the baby cart and brings his blade down on the man's forehead, splitting it in two.
Ittō leaves the village, and the prostitute hopes to follow, but Ittō makes a motion to cut the ropes on the bridge leading to town, to stop her from following, for the journey he is on is one that is for only him and Daigoro to make.",chambara set japan unspecific year edo period ogami ittō disgrace executioner kogi kaishakunin shōgun wander countryside push baby cart year old son daigoro inside banner hang ogami suiouryo technique child expertise hire 腕 hire つかまつる serve 水 鷗流 suiouryo 拜一刀 ogami ittō say service ask unexpected way insane woman seize daigoro cart proceed try breastfeed boy daigoro hesitate stern look father proceed suckle crazy woman breast woman mother apologize daughter behavior try ittō money stoic rōnin refuse say son hungry walk rain remember rainy day month early wife asami slay ninjas ostensibly revenge ittō execution boy daimyō complicated plot shōgun inspector bizen shadow yagyū clan frame ittō treason executioner post wandering assassin hire ittō take job chamberlain kill rival gang henchman pose threat chamberlain lord chamberlain plan test ittō quick slash dōtanuki sword dispatch chamberlain man target remote mountain village home hot spring spa pool ittō push baby cart daigoro observe scene nature mother dog suckle puppy child singe song bounce ball ittō think time wife kill give daigoro choice toy ball sword child choose ball ittō death send mother well place opinion curious child reach sword choose path ronin father live like demon crossroad hell eventually ittō reach hot spring village find rival chamberlain man hire band ronin take town rape looting pillaging ittō force sword place hostage village ronin discuss kill ittō decide let live sex town remain prostitute watch prostitute refuse threaten man knife expert order save woman ittō step forward disrobe say man bidding woman episode take trip past dramatic beheading blood spurt scene ittō defeat yagyū retsudo good swordsman aid mirror daigoro forehead reflect sun swordsman eye big showdown village reveal baby cart harbor secret edge weapon include spear like naginata ittō use evil chamberlain man chop knee leave bloody stump low leg stand ground man matchlock pistol ittō quickly upturn baby cart reveal armored underneath gunman pistol ittō quickly leap baby cart bring blade man forehead split ittō leave village prostitute hope follow ittō make motion cut rope bridge lead town stop follow journey daigoro
Question 7,drama,"In post-war East Germany, Peter Gottfried is the son of minister Friedrich Gottfried. The Communist regime has decreed that all children of ""dissidents"" will be denied entry to a prestigious music conservatory. Peter is anxious to be accepted, and in order to get in he prepares to answer the seven questions required by the conservatory, the seventh of which will require him to deny his religious convictions. Before this can happen, he is invited by the Communist Party to perform at the Berlin Youth Festival. Friedrich protests, knowing that the Communists intend to use his son as a political pawn, to ""prove"" to the world that East Germany affords equal rights to clergymen. In the end, it is Peter himself who decides to quit the Festival and defect to the West.",drama post war east germany peter gottfrie son minister friedrich gottfrie communist regime decree child dissident deny entry prestigious music conservatory peter anxious accept order prepare answer seven question require conservatory seventh require deny religious conviction happen invite communist party perform berlin youth festival friedrich protest know communist intend use son political pawn prove world east germany afford equal right clergyman end peter decide quit festival defect west
Disconnect,crime,"An ambitious, up-and-coming reporter Nina Dunham has much success with her interview with underage video chat-room stripper Kyle. Kyle, a runaway, works in a whole ""house"" with other chat-room strippers under his boss, Harvey. However, the FBI wants her to reveal his address in order to shut down the whole website that hosts the web-rooms. Since she has paid him in order to make initial contact, she may have broken the law, making the police and her boss put pressure on her to cooperate. Nina wants to save him from the business, yet fears losing his trust in the process. Kyle reluctantly gives her the address, and somehow, Harvey is tipped off and the entire house flees. When Nina discovers this, she follows them to the motel where they're staying, and asks Kyle to leave with her. At first, Kyle is hopeful for the future and willing, but when Nina is hesitant to guarantee him safe haven in her home, he resists. Harvey watches the argument, then slaps Nina. The entire group of chat-room strippers leave and Nina drives away in tears.
Two boys, Jason and his friend Frye, impersonate a girl, ""Jessica Rhony"", on Facebook Messenger and convince teenager Ben (the son of Rich, a legal counsel at the TV station where Nina works) to send a nude picture of himself. The boys distribute it to classmates, and the picture circulates to nearly everyone in their grade. Ben is so embarrassed by this cyber bullying that he attempts suicide by hanging himself and ends up in a coma. Rich doggedly searches Ben's social media, looking for answers, and begins chatting with ""Jessica"". Jason visits Ben in the hospital, where he meets Rich, and falsely calls himself Mike. Jason's father (the real Mike) discovers what Jason has been doing and becomes very angry with him. However, he grudgingly protects his son by erasing the evidence on Frye's iPad. Later, Rich discovers that Jason is actually ""Jessica"", and goes to Mike's house angrily, resulting in a physical altercation. Jason tries to intervene, and Rich hits him with a hockey stick. Mike then hits Rich, who falls to the ground, which stops the fight.
A young married couple, Derek and Cindy, seem to live a fairly normal life, however, the couple is still devastated due to a tragedy that occurred two years ago, the death of their only son, James, caused by SIDS. Cindy, who remained sterile, could not have other children and overcome mourning, one day, the couple finds their identities are stolen online. They hire private detective Mike (Jason's father) to find the thief, and after revealing that Cindy had been regularly chatting on a support group website, Mike determines their burglar. Cindy and Derek go after the suspect, Stephen Schumacher, following him at work, watching his movements, and breaking into his home for evidence. Right before Derek goes to confront him at his front door, Mike calls to tell him that Schumacher is not their guy, and that he too was a victim of the burglar. Schumacher, who had been noticing Cindy and Derek stalking him, confronts them in their car with a rifle; however, Derek, a former Marine, disarms him and forces him back into his house. Cindy is able to coax the gun away, relating to the online chats about each of their losses.
The film ends with none of the stories being resolved, and yet, with all characters having grown closer to the ones they love in the process, or rather, having stopped ""disconnecting"".",crime ambitious come reporter nina dunham success interview underage video chat room stripper kyle kyle runaway work house chat room stripper boss harvey fbi want reveal address order shut website host web room pay order initial contact break law make police boss pressure cooperate nina want save business fear lose trust process kyle reluctantly give address harvey tip entire house flee nina discover follow motel stay ask kyle leave kyle hopeful future willing nina hesitant guarantee safe haven home resist harvey watch argument slap nina entire group chat room stripper leave nina drive away tear boy jason friend frye impersonate girl jessica rhony facebook messenger convince teenager ben son rich legal counsel tv station nina work send nude picture boy distribute classmate picture circulate nearly grade ben embarrassed cyber bully attempt suicide hang end coma rich doggedly search ben social medium look answer begin chat jessica jason visit ben hospital meet rich falsely call mike jason father real mike discover jason angry grudgingly protect son erase evidence frye ipad later rich discover jason actually jessica go mike house angrily result physical altercation jason try intervene rich hit hockey stick mike hit rich fall ground stop fight young married couple derek cindy live fairly normal life couple devastate tragedy occur year ago death son james cause sid cindy remain sterile child overcome mourning day couple find identity steal online hire private detective mike jason father find thief reveal cindy regularly chat support group website mike determine burglar cindy derek suspect stephen schumacher follow work watch movement break home evidence right derek go confront door mike call tell schumacher guy victim burglar schumacher notice cindy derek stalk confront car rifle derek marine disarm force house cindy able coax gun away relate online chat loss film end story resolve character having grow close one love process having stop disconnect
Crazy Eyes,drama,"Zack (Haas) is a young, divorced father who starts to develop romantic feelings towards his friend Rebecca (Zima), whom he refers to as ""Crazy Eyes"". He spends a lot of time at a bar run by his best friend Dan Drake (Busey) and hanging out with Autumn (Raymonde). As he pursues a sexual relationship with Rebecca, Zack grows increasingly aware of the importance of his son's role in his life amidst the failing health of his own father.",drama zack haas young divorced father start develop romantic feeling friend rebecca zima refer crazy eye spend lot time bar run good friend dan drake busey hang autumn raymonde pursue sexual relationship rebecca zack grow increasingly aware importance son role life amidst fail health father
Tareeq al-Amal (The Road of Hope),drama / romance,"Faten is a young woman whose mother suffers from a malicious disease that forbids her from working. This leaves her and her mother with no money, which forces her to work as a prostitute. One day she meets a man who sympathizes with her situation and decides to save her from this unpleasant work. He falls in love with her and decides to marry her, but his mother does not allow him because of who she is. Faten returns to working as a prostitute. One day, she saves her lover's sister which convinces his mother who accepts her as her son's wife.",drama romance faten young woman mother suffer malicious disease forbid work leave mother money force work prostitute day meet man sympathize situation decide save unpleasant work fall love decide marry mother allow faten return work prostitute day save lover sister convince mother accept son wife
Day One,drama,"It is 2006, and 19-year-old Renee Yohe has always loved fairy tales: the idea of a princess, a hero and a happily ever after. But her life is that of a darker tale. As she battles with drug addiction, manic depression, self-harm and other life issues, she receives love and support from numerous friends and new acquaintances, including Jamie Tworkowski and David McKenna. When Yohe is turned away from drug rehabilitation, with open wounds from self-cutting making her too great a treatment risk, McKenna takes her into his home for five days of detox, while Tworkowski posts an article on Myspace, titled ""To Write Love on Her Arms"" (in contrast to Yohe having written ""Fuck Up"" on her arm, with a razor blade), to fundraise the cost of rehab.[2] Their efforts for Yohe are successful, and leads to Tworkowski founding the charity group To Write Love on Her Arms, offering similar support to other depressed, suicidal, self-harming drug addicts.[3]",drama year old renee yohe love fairy tale idea princess hero happily life dark tale battle drug addiction manic depression self harm life issue receive love support numerous friend new acquaintance include jamie tworkowski david mckenna yohe turn away drug rehabilitation open wound self cutting make great treatment risk mckenna take home day detox tworkowski post article myspace title write love arm contrast yohe having write fuck arm razor blade fundraise cost effort yohe successful lead tworkowski found charity group write love arm offer similar support depressed suicidal self harm drug
Nutty Professor II: The Klumps,comedy,"After finding success with a DNA restructuring formula in the first film, Sherman Klump has created another formula which enables those who take it to find the Fountain of Youth. He has also met and fallen in love with a colleague, Denise Gaines, who has developed a method to isolate genetic material and later becomes his fiancée. Together, their work has enabled Wellman College to receive a $150 million award from a pharmaceutical firm to the excitement of Dean Richmond. Despite his good fortune, Sherman has a major problem: the personality of his vanquished alter ego, Buddy Love, is still ingrained inside him and causes him to act out in the same crass manner Buddy does. Sherman tries proposing to Denise, but then Buddy kicks in and makes it a perverted sex request, causing Denise to become mortified against him.
Determined to be rid of Buddy permanently, and despite Jason warning him of potentially catastrophic consequences for his health, Sherman uses Denise's methodology to isolate and remove the gene in Sherman's DNA where Buddy has manifested and extracts it from inside his body. However, he does not dispose of the genetic material and as a result, Buddy becomes a sentient being when a hair from a Basset Hound who was Sherman's test subject finds its way into it and causes such a reaction. To make matters worse, Jason's suspicions prove correct when Sherman discovers that, due to the extraction, his brain cells are beginning to deteriorate.
Realizing he needs to keep the youth formula out of Buddy's hands, Sherman stashes it at his parents' house. Buddy, who is trying to sell the formula to a different company, quickly realizes where it is and steals some of it. Buddy also doctors the remainder with fertilizer, which causes chaos at a demonstration the next day when a hamster Sherman uses to demonstrate the youth finding effects instead mutates into an aggressive monster who violates Dean Richmond in front of a live television audience. The humiliated Dean fires Sherman, who learns that his brain's deterioration has worsened from Jason. Sherman then decides to end his engagement and break up with Denise.
In a last-ditch effort to secure the money, Sherman quickly works on a newer, much more potent formula while his mental faculties allow him to. Richmond confronts him about Buddy's actions, believing the two are working together. He leaves with Richmond and a tennis ball and head to the competing firm. Meanwhile, a worried Denise discovers what has happened and that Sherman's brain damage has progressed to almost eighty percent. Enlisting the help of Sherman's father Cletus, Denise goes after him. Sherman takes advantage of the canine DNA that crossed with Buddy's, and uses the tennis ball to play fetch. The ball is covered with the new formula, which takes Buddy back to an infantile state and eventually to a glowing mass of genetic material for Sherman to suck the genetic material back into his body through a straw, thus putting his DNA back together and returning him to normal. However, as Sherman chases what is left of Buddy, the glowing mass evaporates and thus Sherman cannot restore his intelligence.
Denise and Cletus arrive too late to save him, and seeing what has happened to Sherman, Denise breaks into tears. As they go to leave, Sherman takes a look at a fountain and remarks that it is ""pretty"". Seeing that the water is glowing, Denise realizes that the genetic material has reconstituted and that if Sherman drinks the water before it dissipates, he will be restored to normal. Sherman eventually drinks the water with the help of Denise and Cletus, and thus he is able to get his genetic makeup back in proper order.
The film closes with Denise and Sherman's wedding reception, with Buddy nowhere to be found. Dean Richmond rehires Sherman with a wedding present, and the hamster is back to normal and Dean Richmond decides to love the hamster.",comedy find success dna restructure formula film sherman klump create formula enable find fountain youth meet fall love colleague denise gaine develop method isolate genetic material later fiancée work enable wellman college receive million award pharmaceutical firm excitement dean richmond despite good fortune sherman major problem personality vanquished alter ego buddy love ingrained inside cause act crass manner buddy sherman try propose denise buddy kick make perverted sex request cause denise mortified determine rid buddy permanently despite jason warn potentially catastrophic consequence health sherman use denise methodology isolate remove gene sherman dna buddy manifest extract inside body dispose genetic material result buddy sentient hair basset hound sherman test subject find way cause reaction matter bad jason suspicion prove correct sherman discover extraction brain cell begin deteriorate realize need youth formula buddy hand sherman stash parent house buddy try sell formula different company quickly realize steal buddy doctor remainder fertilizer cause chaos demonstration day hamster sherman use demonstrate youth find effect instead mutate aggressive monster violate dean richmond live television audience humiliated dean fire sherman learn brain deterioration worsen jason sherman decide end engagement break denise ditch effort secure money sherman quickly work new potent formula mental faculty allow richmond confront buddy action believe work leave richmond tennis ball head compete firm worried denise discover happen sherman brain damage progress eighty percent enlist help sherman father cletus denise go sherman take advantage canine dna cross buddy use tennis ball play fetch ball cover new formula take buddy infantile state eventually glowing mass genetic material sherman suck genetic material body straw put dna return normal sherman chase leave buddy glowing mass evaporate sherman restore intelligence denise cletus arrive late save see happen sherman denise break tear leave sherman take look fountain remark pretty see water glow denise realize genetic material reconstitute sherman drink water dissipate restore normal sherman eventually drink water help denise cletus able genetic makeup proper order film close denise sherman wedding reception buddy find dean richmond rehire sherman wedding present hamster normal dean richmond decide love hamster
The Hunting Party,western,"Relations are strained between cattle baron Brandt Ruger (Gene Hackman) and his wife, Melissa (Candice Bergen) when he leaves for a two-week hunting trip with some of his wealthy friends.
Mistaking her for a schoolteacher, outlaw Frank Calder (Oliver Reed) and his band of rustlers and thieves kidnap Melissa, not for ransom but because Calder wants to be taught how to read a book.
Traveling by luxurious private train, the hunting party engages in debauchery with women, one of whom Ruger sadistically abuses. Notified that his wife has been taken captive, Ruger arms his friends with high-powered rifles to begin a hunt not for animals but for men.
Calder twice must keep Melissa from being raped by his men. But eventually he overpowers and rapes her himself. Melissa tries to shoot and stab Calder and to flee, each time in vain. She goes on a hunger strike, but cannot resist the temptation of a jar of peaches. She begins to enjoy Calder's company.
Using rifles with telescopic sights that can allow shooting a target at 800 yards, Ruger and his men begin to pick off the outlaws one by one. Melissa also stabs one, Hog Warren (L.Q. Jones), after he attempts a second time to rape her. Calder charges within close range and is able to shoot one of Ruger's men. Two others quit the hunting party when they see Ruger's lack of concern over their friend's death.
Calder's men become upset to discover that they have kidnapped such a powerful man's wife, placing them in danger for no good reason. The men revolt and Calder kills one. When his own best friend, Doc (Mitchell Ryan), is gravely wounded, Calder obeys a last request to put Doc out of his misery.
On his death bed, Hog Warren further angers Ruger by telling him Melissa is now Calder's woman. In yet another ambush, Ruger sees for himself that Melissa, rather than trying to escape, leaps onto Calder's horse voluntarily to ride off with him. Ruger's last remaining ally, Matthew (Simon Oakland), implores him to let her go, but the crazed Ruger pays no mind.
The last of Calder's men are gunned down from long range at a water hole. Alone now, Calder and Melissa are driven out into the desert. Weak from heat and thirst, their horse dead, they stumble toward an inevitable fate. Ruger materializes on foot. He fatally shoots Calder with his rifle. As Calder is dying Ruger kills Melissa. Ruger then collapses beside them. The credits roll over what appears to be a sepia photograph of three bodies in the sand.",western relation strain cattle baron brandt ruger gene hackman wife melissa candice bergen leave week hunting trip wealthy friend mistake schoolteacher outlaw frank calder oliver reed band rustler thief kidnap melissa ransom calder want teach read book travel luxurious private train hunt party engage debauchery woman ruger sadistically abuse notify wife take captive ruger arm friend high powered rifle begin hunt animal man calder twice melissa rape man eventually overpower rape melissa try shoot stab calder flee time vain go hunger strike resist temptation jar peach begin enjoy calder company rifle telescopic sight allow shoot target yard rug man begin pick outlaws melissa stab hog warren jones attempt second time rape calder charge close range able shoot ruger man quit hunting party ruger lack concern friend death calder man upset discover kidnap powerful man wife place danger good reason man revolt calder kill good friend doc mitchell ryan gravely wound calder obey request doc misery death bed hog warren anger ruger tell melissa calder woman ambush ruger see melissa try escape leap calder horse voluntarily ride ruger remain ally matthew simon oakland implore let craze ruger pay mind calder man gun long range water hole calder melissa drive desert weak heat thirst horse dead stumble inevitable fate ruger materialize foot fatally shoot calder rifle calder die ruger kill melissa ruger collapse credit roll appear sepia photograph body sand
Athanokkade,action,"The opening scene shows Anjali (Sindhu Tolani) sitting on a bench feeding a white pigeon by a calm ocean, and a retd. DGP police officer Shankar (Ahuti Prasad) coming and sitting by her side and exchanging pleasantries, and suddenly she whips out a knife and kills him with the help of her maternal uncle Ramachandran (Surya), saying that she has been waiting for this moment for many years.
After that, the scene shifts to Ram (Nandamuri Kalyan Ram) who lives with his loving parents (Chandra Mohan and Rajya Lakshmi) and sister in New Delhi. He takes up a course in a Hyderabad college against his parents' wishes. Unable to be separated from Ram, his parents and their daughter come to Hyderabad along with him.
It is revealed that Anjali is studying in the same college as Ram, and she has her own agenda to seek revenge on her family's killers, assisted by Ramachandran. Now the villain Anna (Ashish Vidyarthi), a local gangster enters and is shown to have a dispute with another person Pattabhai (Rami Reddy). To exact their revenge Anjali's uncle attempts to kill one of Anna's aide Abdullah (Raghu Babu) but fails to do so since Ram kills him. Naturally Anna assumes that the killer can be none other than Pattabhi and so kills him. However Ram arrives on the scene and with help from Gulab Singh (Venu Madhav), threatens Anna telling that he was the one who killed Abdullah and that he will also kill Sada (G. V. Sudhakar Naidu), Anna's second main aide. As typical, Sada gets angry, and goes to kill Ram but fails, and Ram kills Abdullah while his parents are watching with horror. On being questioned, Ram tells his story.
Ram's biological father (Prakash Raj) was an honest cop who arrested one of the henchmen of Anna. It is revealed that Anjali and Ram are from the same family, as Anjali's father is Ram's father's brother-in-law. Anna pays Ram's house a visit and asks his grandfather (Chalapati Rao) to let his henchmen go. When Ram's grandfather refuses, Anna threatens them only to find knives held at him by Ram and his cousins. Ram's father arrives and arrests Anna. Infuriated, he pays them a visit with some of his henchmen and Shankar, the then DCP. Together, they murder their whole extended family. Only Anjali, her uncle Ramachandran and Ram survived the blast that annihilated their family. After the house is blown up by Anna, Ram escapes and is taken in by his foster (Chandra Mohan & Rajya Lakshmi) parents. Meanwhile, Anjali feels that one of her family members is still alive, as someone keeps a flower on the Buddha statue of their former house, which is now the city library. It turns out to be none other than Ram.
On finding out his past, Ram's foster parents request him to come back, but he refuses. He then takes them to the railway station, but is nearly ambushed. He succeeds on defeating them and meets Anna, warning him to bring his brother Ajay from Dubai. Soon, he arrives and kills Ramachandran in revenge before challenging Ram to meet him at his brother's place. Ram comes, and after finding out that Anna had Anjali kidnapped, escapes after killing Ajay. In a thrilling climax, Ram kills Anna, and is shown to be leaving with Anjali, the only one left in his family.",action opening scene show anjali sindhu tolani sit bench feed white pigeon calm ocean retd dgp police officer shankar ahuti prasad come sit exchange pleasantry suddenly whip knife kill help maternal uncle ramachandran surya say wait moment year scene shift ram nandamuri kalyan ram live love parent chandra mohan rajya lakshmi sister new delhi take course hyderabad college parent wish unable separate ram parent daughter come hyderabad reveal anjali study college ram agenda seek revenge family killer assist ramachandran villain anna ashish vidyarthi local gangster enter show dispute person pattabhai rami reddy exact revenge anjali uncle attempt kill anna aide abdullah raghu babu fail ram kill naturally anna assume killer pattabhi kill ram arrive scene help gulab singh venu madhav threaten anna tell kill abdullah kill sada sudhakar naidu anna second main aide typical sada get angry go kill ram fail ram kill abdullah parent watch horror question ram tell story ram biological father prakash raj honest cop arrest henchman anna reveal anjali ram family anjali father ram father brother law anna pay ram house visit ask grandfather chalapati rao let henchman ram grandfather refuse anna threaten find knife hold ram cousin ram father arrive arrest anna infuriate pay visit henchman shankar dcp murder extended family anjali uncle ramachandran ram survive blast annihilate family house blow anna ram escape take foster chandra mohan rajya lakshmi parent anjali feel family member alive keep flower buddha statue house city library turn ram find past ram foster parent request come refuse take railway station nearly ambush succeed defeat meet anna warn bring brother ajay dubai soon arrive kill ramachandran revenge challenge ram meet brother place ram come find anna anjali kidnap escape kill ajay thrilling climax ram kill anna show leave anjali leave family
